Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,314493.8,504064.0,518680.3,653854.0,250497.5,221014.8,199011.8,241883.5,289953.3,204000.0,194000.0
1010040,110071159872,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,PERRY COUNTY,37.27,-83.24,212112,FF,Other,112348.8,144097.5,,125981.8,218699.3,141439.5,118204.5,225708.3,306680.8,348450.8,390393.5
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,,,,93918.8,70265.0,35907.0,55872.5,68761.0,57767.0,41513.0,64664.5
1012147,110070082172,17Z Gas Plant - Chevron USA Inc.,McKittrick,CA,93251,22845 Highway 33,,35.32,-119.63,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,,,3564.1,9298.9,10208.1,,,,,
1000112,110071159492,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,46081.8,60819.7,44658.4,70705.3,52698.7,66797.4,67399.3,40722.2,102599.2,68984.7,100591.8
1006394,,29-6 #2 Central Delivery Point,Blanco,NM,87412,,Rio Arriba,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,,,,,,,15391.6,15353.2,14576.8,10872.6,19389.6
1013701,110070931003,30-30 Gas Plant,Plains,TX,79355,2300 FM 1622,YOAKUM COUNTY,33.09,-96.82,211130,"C,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems",26055.0,31276.2,,,,,,,,,
1002885,,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,,Rio Arriba,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,,,,,,,22506.5,21883.6,22329.7,26701.3,36223.2
1002707,,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,Rio Arriba,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,,,,,,,52646.8,62914.2,68228.4,66669.8,66286.8
1003742,110038508335,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.83,-87.92,562212,"C,HH",Waste,7750.7,100500.9,18925.4,31220.2,29026.8,120657.6,92696.6,120707.4,97467.5,87357.8,95113.3
1002718,110043815725,32-7 Central Delivery Point,BLANCO,NM,87412,,SAN JUAN,36.93,-107.56,213112,C,Petroleum and Natural Gas Systems,,,,,,,33654.1,40757.1,41751.1,49092.7,52001.8
1002721,110070081839,32-8 #2 CDP COMPRESSOR STATION,BLANCO,NM,87412,,SAN JUAN,36.96,-107.66,213112,C,Petroleum and Natural Gas Systems,,,,,,,40868.4,44334.3,45790.4,49628.3,49057.7
1013621,110070789268,3Bear Libby Gas Plant,Hobbs,NM,88240,674 Marathon Rd,LEA COUNTY,32.54,-103.52,211130,"C,W-PROC",Petroleum and Natural Gas Systems,56450.3,40521.8,38691.5,,,,,,,,
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99.00,326113,"C,N",Minerals,28243.2,29359.6,30571.6,34432.4,36202.3,31773.5,36754.7,36419.9,34821.8,33671.9,37149.4
1005043,110071160392,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93.00,541715,C,Other,82787.5,82308.2,106258.2,104995.5,76595.4,79174.0,79440.1,81855.4,80335.2,72407.0,76373.4
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.90,326113,"C,N",Minerals,31129.9,27083.0,29770.9,28622.3,25134.0,18948.0,31694.6,33684.3,32082.2,31178.8,29977.6
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95,-89.64,212313,C,Other,41219.7,46909.1,45435.2,40427.0,42620.9,36574.1,22926.7,26667.0,29429.5,27702.3,28388.5
1004206,110000367567,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",45773.6,44016.3,46652.1,48998.5,47331.5,48267.9,47000.3,53024.9,58214.7,57279.5,60442.7
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",687525.6,656992.8,766971.9,723398.0,713887.6,697084.3,889484.7,1230363.0,2289068.5,1485532.3,1380760.0
1004836,110000423667,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",73720.3,49541.7,32126.5,37300.9,31524.9,37813.8,45416.3,66306.6,64664.1,56199.0,73653.2
1003408,110071161417,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.71,-92.25,212399,C,Other,32655.0,33733.4,30635.4,25541.6,29695.9,30646.1,24870.4,31188.9,28078.7,21306.2,22891.6
1004914,110000425059,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,326199,C,Other,36926.3,39808.0,39937.9,38918.0,37906.8,31373.3,36316.8,39453.9,37107.4,36169.1,39973.4
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.83,-94.33,326113,C,Other,34006.8,31562.8,33839.8,33196.3,30529.3,30263.8,31007.4,27259.4,29197.3,28931.0,30394.6
1013282,,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,,35.66,-79.18,327999,C,Minerals,29339.2,25996.9,25992.9,25848.5,,,,,,,
1007408,110055511780,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,GREENE COUNTY,39.76,-80.00,212112,FF,Other,,,,27813.5,154923.3,86127.3,133881.8,118170.8,0.0,61192.5,62458.3
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,38254.7,49160.7,13841.0,32159.8,50999.8,,12264.3,12516.9,9659.1,29574.2,9814.8
1012037,110063753656,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.76,-105.79,213112,"C,W-PROC",Petroleum and Natural Gas Systems,59458.7,72243.5,109781.4,77649.5,57105.0,50953.2,35716.8,,,,
1004680,110013945062,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83,-80.35,562212,HH,Waste,60334.5,63873.5,67620.0,71586.5,75785.5,80230.8,84936.8,89918.8,95193.0,100776.5,106687.8
1000766,110064649901,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.77,-73.99,221330,C,Power Plants,180185.7,149969.0,224910.1,260405.9,218874.8,232873.7,238778.2,262718.6,206935.3,199034.6,265415.8
1007733,110041047505,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.76,-95.30,221320,C,Other,,21730.7,24201.7,21834.1,22708.0,22362.8,26395.6,27184.2,26929.7,26822.8,25928.4
1000767,110070834991,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.77,-73.95,221330,C,Power Plants,195068.4,174902.7,254385.1,270795.3,194944.2,205696.2,255020.8,272983.4,226196.7,148328.4,297071.8
1001033,110070116733,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,3077205.9,2386473.4,2789540.7,2741626.7,2172917.2,2315093.2,2663665.6,3143355.9,2556867.7,2538211.8,2270617.7
1012058,110071161547,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,255049.3,210709.8,139492.5,95999.0,47097.0,29670.0,15626.5,,,,
1013527,,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,,46.79,-88.62,221112,C,Power Plants,119056.2,123398.1,99392.7,,,,,,,,
1002853,110017421226,ABBOTT NUTRITION,STURGIS,MI,49091,901 NORTH CENTERVILLE ROAD,ST. JOSEPH COUNTY,41.81,-85.43,311514,C,Other,,,,,,23486.8,23398.0,24996.5,21426.5,20498.4,25492.6
1002983,110018042562,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30,-87.89,424210,C,Other,56477.7,55009.4,54130.1,54787.2,55489.2,55832.7,56777.3,64177.6,68720.9,58630.8,75805.5
1007514,110007806188,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,61957.9,64383.5,86980.0,86045.7,82095.5,85474.9,95561.4,98333.8,106357.6,110110.4,116626.0
1004511,110000366817,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,324199,"C,Q",Metals,175860.4,171414.2,177086.9,176844.1,166390.2,161315.0,171606.5,201540.7,199654.2,214858.5,223890.3
1005278,110033218159,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,COLWICH,KS,67030,523 E UNION AVE,SEDGWICK COUNTY,37.79,-97.53,325193,C,Other,,,,,,,7714.4,7460.6,0.0,0.0,11.5
1005353,110038367228,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,190887.6,196953.3,193369.9,194355.0,189764.6,189764.6,180568.9,174747.7,182302.3,172174.6,162005.1
1006971,110064337123,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.48,-76.14,928110,C,Other,98481.4,95765.9,108122.6,106920.0,83575.7,80483.6,69918.5,54155.5,33282.1,40467.1,51105.0
1003091,110034769043,ABRAHAM COMPRESSOR STATION,CANADIAN,TX,79014,9835 US HWY 60,HEMPHILL,35.76,-100.49,211111,C,Petroleum and Natural Gas Systems,,,,,,,21768.0,27228.5,30973.3,23083.2,24388.4
1002627,110027236621,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.50,-92.92,325193,"C,II","Other,Waste",147591.6,142519.4,140703.3,170171.8,177140.2,174562.5,178561.4,179161.7,180438.3,172951.4,167013.7
1002685,110071162081,AC 857 A,Offshore,TX,00000,,,26.30,-94.90,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,222001.8,195340.8,214992.5,214868.7,209376.5,265377.8,275627.4,229358.7,180859.9,175745.2,134678.5
1006529,110013921435,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,45791.5,45082.5,53725.3,53049.5,52774.3,52502.8,51686.5,51001.0,50322.8,49691.0,47807.5
1004830,110000481924,ACE Cogeneration Company,Trona,CA,93562,12801 Mariposa Street,SAN BERNARDINO,35.77,-117.38,221112,C,Power Plants,,,,,,,,368560.1,327422.6,581742.8,721407.1
1004761,110013812918,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2",75318.8,69300.8,75591.9,73526.1,73406.1,74011.8,73115.0,75143.3,72119.2,71601.0,70091.2
1005601,110007180709,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327120,C,Minerals,24461.5,26692.3,26165.8,27772.7,26481.6,55858.2,58615.7,29376.3,31235.3,24725.4,22273.0
