manufacturer,transmission_type,fuel,engine_size_cm3,power_ps,co2_emissions_gPERkm
ABARTH,Manual,Petrol,1368,145,161
ABARTH,Manual,Petrol,1368,145,153
ABARTH,Manual,Petrol,1368,145,169
ABARTH,Manual,Petrol,1368,145,162
ABARTH,Manual,Petrol,1368,145,169
ABARTH,Manual,Petrol,1368,145,162
ABARTH,Manual,Petrol,1368,145,169
ABARTH,Manual,Petrol,1368,145,162
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Automatic,Petrol,1368,180,172
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Automatic,Petrol,1368,180,172
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Automatic,Petrol,1368,180,172
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Automatic,Petrol,1368,165,177
ABARTH,Automatic,Petrol,1368,165,162
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Automatic,Petrol,1368,165,177
ABARTH,Automatic,Petrol,1368,165,162
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Automatic,Petrol,1368,180,172
ABARTH,Manual,Petrol,1368,180,171
ABARTH,Automatic,Petrol,1368,180,172
ABARTH,Manual,Petrol,1368,180,156
ABARTH,Automatic,Petrol,1368,180,165
ABARTH,Automatic,Petrol,1368,180,160
ABARTH,Manual,Petrol,1368,180,156
ABARTH,Automatic,Petrol,1368,180,165
ABARTH,Automatic,Petrol,1368,180,160
ABARTH,Manual,Petrol,1368,180,156
ABARTH,Manual,Petrol,1368,180,156
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ABARTH,Manual,Petrol,1368,165,150
ABARTH,Manual,Petrol,1368,165,159
ABARTH,Automatic,Petrol,1368,165,153
ABARTH,Automatic,Petrol,1368,165,160
ABARTH,Manual,Petrol,1368,165,159
ABARTH,Manual,Petrol,1368,165,150
ABARTH,Automatic,Petrol,1368,165,153
ABARTH,Automatic,Petrol,1368,165,160
ABARTH,Manual,Petrol,1368,165,165
ABARTH,Manual,Petrol,1368,165,171
ALFA ROMEO,Manual,Petrol,1368,120,170
ALFA ROMEO,Manual,Petrol,1368,120,190
ALFA ROMEO,Manual,Petrol,1368,120,177
ALFA ROMEO,Manual,Petrol,1368,120,164
ALFA ROMEO,Manual,Petrol,1368,120,164
ALFA ROMEO,Manual,Petrol,1368,120,177
ALFA ROMEO,Automatic,Petrol,1995,200,184
ALFA ROMEO,Automatic,Petrol,1995,200,171
ALFA ROMEO,Automatic,Petrol,1995,200,184
ALFA ROMEO,Automatic,Petrol,1995,200,171
ALFA ROMEO,Automatic,Petrol,1995,200,193
ALFA ROMEO,Automatic,Petrol,1995,200,184
ALFA ROMEO,Automatic,Petrol,1995,280,195
ALFA ROMEO,Automatic,Petrol,1995,280,180
ALFA ROMEO,Automatic,Petrol,1995,280,195
ALFA ROMEO,Automatic,Petrol,2891,510,238
ALFA ROMEO,Automatic,Petrol,2891,510,243
ALFA ROMEO,Automatic,Petrol,1995,200,207
ALFA ROMEO,Automatic,Petrol,1995,200,228
ALFA ROMEO,Automatic,Petrol,1995,200,202
ALFA ROMEO,Automatic,Petrol,1995,200,222
ALFA ROMEO,Automatic,Petrol,1995,200,202
ALFA ROMEO,Automatic,Petrol,1995,200,222
ALFA ROMEO,Automatic,Petrol,1995,200,207
ALFA ROMEO,Automatic,Petrol,1995,200,228
ALFA ROMEO,Automatic,Petrol,1995,280,205
ALFA ROMEO,Automatic,Petrol,1995,280,222
ALFA ROMEO,Automatic,Petrol,1995,280,205
ALFA ROMEO,Automatic,Petrol,1995,280,222
ALFA ROMEO,Automatic,Petrol,1995,280,222
ALFA ROMEO,Automatic,Petrol,1995,280,205
ALFA ROMEO,Automatic,Petrol,1995,280,202
ALFA ROMEO,Automatic,Petrol,1995,280,219
ALFA ROMEO,Automatic,Petrol,2891,510,261
ALFA ROMEO,Automatic,Petrol,1995,200,163
ALFA ROMEO,Automatic,Petrol,1995,200,175
ALFA ROMEO,Automatic,Petrol,1995,280,159
ALFA ROMEO,Automatic,Petrol,1995,280,174
ALFA ROMEO,Automatic,Petrol,1995,280,159
ALFA ROMEO,Automatic,Petrol,1995,280,174
ALFA ROMEO,Automatic,Petrol,2891,510,233
ALFA ROMEO,Automatic,Petrol,2891,510,228
ALFA ROMEO,Automatic,Petrol,1995,200,189
ALFA ROMEO,Automatic,Petrol,1995,200,208
ALFA ROMEO,Automatic,Petrol,1995,280,186
ALFA ROMEO,Automatic,Petrol,1995,280,206
ALFA ROMEO,Automatic,Petrol,1995,280,186
ALFA ROMEO,Automatic,Petrol,1995,280,206
ALFA ROMEO,Automatic,Petrol,2891,510,267
ALPINE,Automatic,Petrol,1798,300,153
ALPINE,Automatic,Petrol,1798,300,155
ALPINE,Automatic,Petrol,1798,292,154
ALPINE,Automatic,Petrol,1798,292,154
ALPINE,Automatic,Petrol,1798,251,156
ALPINE,Automatic,Petrol,1798,251,162
ALPINE,Automatic,Petrol,1798,251,166
ALPINE,Automatic,Petrol,1798,292,157
ALPINE,Automatic,Petrol,1798,292,157
